run,queryIndex,queryId,scenario,terminalState,outcome,totalMs,executionMs,anchorAndPersistenceMs,anchorQueueWaitMs,anchorServiceMs,retryCount,remoteRequestAttempts,receiptBytes,receiptRoot,anchorTxHash,anchorBlockHeight,auditVerified,expectedBehavior,error
1,6,livereg-2026-09-01T01-38-58-803Z-1-over_limit-6,over_limit,ANCHORED,UNSATISFIED,511.548,44,467.548,0.004,461.072,0,6,15975,0x24e44143e1f314657c411f8c1a3446d3022e2523845c81ced978b42d349fdb71,0x7c1b75c4b51a28dd6b9a1bb14c6d84be7ad7909fe184d8df8ee5c766e79ff0fa,1082,true,true,
1,7,livereg-2026-09-01T01-38-58-803Z-1-over_limit-7,over_limit,ANCHORED,UNSATISFIED,495.393,46,449.393,0.004,443.304,0,6,16083,0x6d6ce5c8647bba3fa6fbd74adc8f30a750245de270a5a57be863ce8c76beb13b,0xaab34c0534062dbbe7b7498214a5d4b5487138caa312c32f352097dd50c27179,1083,true,true,
1,8,livereg-2026-09-01T01-38-58-803Z-1-over_limit-8,over_limit,ANCHORED,UNSATISFIED,509.559,39,470.559,0.004,462.611,0,6,16084,0x3a537498944e15e39ba849a914eb2458e4536c0c1a347c31fe0051046f7fd15a,0x11655804626bedb95601dc71f5c0015e4dec4d4d3c314fca4e32d1ff7b1dfccb,1084,true,true,
1,9,livereg-2026-09-01T01-38-58-803Z-1-over_limit-9,over_limit,ANCHORED,UNSATISFIED,511.227,48,463.227,0.009,453.482,0,6,16083,0xe88aba251f6052d6199c9a103bd864abe13f0fcd82856322cdf922e0812c3008,0x0b62faa1c6e2dfd7d21c668dba1d16145b222ae318f066e61bf692b259cf79ee,1085,true,true,
1,0,livereg-2026-09-01T01-38-58-803Z-1-subject_mismatch-0,subject_mismatch,ANCHORED,UNSATISFIED,498.322,56,442.322,0.004,434.782,0,6,16077,0xff382dd84279a79dc2f3b56d455c53ef7d0cd71a94d9c4ef73daefc810702bec,0x4bb885136318cbb67b83d10622e81092d60b8cfbb75cd5260b6f3ed1a26e8ac3,1086,true,true,
1,1,livereg-2026-09-01T01-38-58-803Z-1-subject_mismatch-1,subject_mismatch,ANCHORED,UNSATISFIED,506.946,46,460.946,0.003,451.157,0,6,16077,0x7a4fd6e026b687030681edb18f7d88e62bcc86c302f8214e10cad56655f758cf,0x514b281957901c9eed7db2b574f7370c1dc37f6fc92861009209c92e75b749e9,1087,true,true,
1,2,livereg-2026-09-01T01-38-58-803Z-1-subject_mismatch-2,subject_mismatch,ANCHORED,UNSATISFIED,510.31,52,458.31,0.005,449.698,0,6,16185,0x18f824886432716b3c8908885c780cf70829abfb8df18221714be3fb6ee26896,0x007b4fbe01eeecf25bc92493dde534d94f29ce02315967aa0552a5e0db11d4af,1088,true,true,
1,3,livereg-2026-09-01T01-38-58-803Z-1-subject_mismatch-3,subject_mismatch,ANCHORED,UNSATISFIED,512.283,73,439.283,0.005,428.459,0,6,16077,0x1fff409a8abdc8b6ae68452bd0ce708e20a53208fa08c6bcb502eb83f3b2c2b8,0x54d27a4f4e4506df97fa12186586ee782aed4f47ae77dfec26a3686b804809dd,1089,true,true,
1,4,livereg-2026-09-01T01-38-58-803Z-1-subject_mismatch-4,subject_mismatch,ANCHORED,UNSATISFIED,501.328,52,449.328,0.006,440.948,0,6,16185,0xeba10bc4cef0422a4ab9a1a546977ad1288c65556141c39971f9e0f2f82e0dfd,0x6e8a447b26a38b8f71c3b29ba4dc8adf4fc7937a398d020ea78b92399f466531,1090,true,true,
1,5,livereg-2026-09-01T01-38-58-803Z-1-subject_mismatch-5,subject_mismatch,ANCHORED,UNSATISFIED,504.673,37,467.673,0.003,460.057,0,6,16077,0xa6e9117e45585d26a935d21ef6dede7448352cfa5a865273afef8e77a2f9bdfd,0xbbda82302c831dcdeaafeb7b6133688f9fae51f6cc4b875b0aa81fe5c858539f,1091,true,true,
